episode_id,seed,init_R,init_S,init_P,first_extinction_step,terminal_step,winner,timed_out,final_R,final_S,final_P,n_snapshots
0,100000,12,18,30,1708,1902,P,0,0,0,60,383
1,100001,16,21,23,598,629,S,0,0,60,0,128
2,100002,15,30,15,389,495,S,0,0,60,0,101
3,100003,17,23,20,312,441,R,0,60,0,0,91
4,100004,21,27,12,674,824,S,0,0,60,0,167
5,100005,13,34,13,1068,1194,R,0,60,0,0,241
6,100006,12,17,31,369,879,S,0,0,60,0,178
7,100007,28,17,15,245,345,S,0,0,60,0,70
8,100008,11,16,33,405,451,P,0,0,0,60,92
9,100009,12,23,25,1731,2058,P,0,0,0,60,414
10,100010,10,30,20,874,1014,R,0,60,0,0,205
11,100011,38,12,10,281,612,R,0,60,0,0,125
12,100012,34,14,12,304,518,R,0,60,0,0,106
13,100013,22,10,28,1444,1607,P,0,0,0,60,324
14,100014,11,24,25,370,622,P,0,0,0,60,126
15,100015,39,11,10,789,996,S,0,0,60,0,202
16,100016,16,19,25,476,598,S,0,0,60,0,122
17,100017,15,27,18,614,726,R,0,60,0,0,148
18,100018,32,14,14,1708,1846,P,0,0,0,60,372
19,100019,22,22,16,1295,1460,P,0,0,0,60,293
20,100020,18,19,23,517,684,R,0,60,0,0,139
21,100021,18,12,30,2180,2489,P,0,0,0,60,499
22,100022,26,18,16,304,572,R,0,60,0,0,117
23,100023,24,12,24,355,426,R,0,60,0,0,87
24,100024,21,14,25,442,671,P,0,0,0,60,137
25,100025,31,11,18,1430,1605,S,0,0,60,0,322
26,100026,17,33,10,151,360,P,0,0,0,60,74
27,100027,13,14,33,2267,2520,S,0,0,60,0,506
28,100028,36,13,11,413,578,S,0,0,60,0,118
29,100029,32,15,13,438,602,S,0,0,60,0,123
30,100030,31,15,14,431,499,P,0,0,0,60,102
31,100031,11,31,18,372,549,S,0,0,60,0,112
32,100032,19,11,30,161,213,S,0,0,60,0,45
33,100033,34,14,12,480,823,R,0,60,0,0,166
34,100034,22,17,21,350,531,S,0,0,60,0,108
35,100035,13,26,21,610,764,P,0,0,0,60,154
36,100036,24,17,19,285,638,R,0,60,0,0,129
37,100037,20,18,22,272,454,P,0,0,0,60,93
38,100038,37,11,12,841,1005,R,0,60,0,0,203
39,100039,21,12,27,926,1036,P,0,0,0,60,210
40,100040,18,14,28,1572,1629,P,0,0,0,60,328
41,100041,13,34,13,798,899,S,0,0,60,0,182
42,100042,10,31,19,372,635,S,0,0,60,0,129
43,100043,23,24,13,608,903,R,0,60,0,0,183
44,100044,15,12,33,1275,1414,P,0,0,0,60,284
45,100045,12,33,15,1620,1765,R,0,60,0,0,354
46,100046,11,39,10,137,249,R,0,60,0,0,52
47,100047,31,16,13,764,949,R,0,60,0,0,192
48,100048,14,17,29,752,814,R,0,60,0,0,165
49,100049,17,15,28,215,324,S,0,0,60,0,66
50,100050,19,11,30,3099,3341,P,0,0,0,60,671
51,100051,26,24,10,1358,1561,R,0,60,0,0,315
52,100052,11,15,34,583,694,R,0,60,0,0,141
53,100053,13,13,34,937,1156,S,0,0,60,0,234
54,100054,22,14,24,116,170,S,0,0,60,0,36
55,100055,10,22,28,2118,2250,R,0,60,0,0,452
56,100056,33,13,14,2019,2110,P,0,0,0,60,424
57,100057,11,23,26,232,365,P,0,0,0,60,75
58,100058,26,10,24,292,557,R,0,60,0,0,114
59,100059,10,29,21,1083,1346,P,0,0,0,60,272
60,100060,38,12,10,948,1198,R,0,60,0,0,242
61,100061,23,19,18,2214,2379,R,0,60,0,0,478
62,100062,25,15,20,584,744,S,0,0,60,0,151
63,100063,24,13,23,207,602,S,0,0,60,0,123
64,100064,28,19,13,281,463,R,0,60,0,0,95
65,100065,11,15,34,424,662,R,0,60,0,0,135
66,100066,24,23,13,3120,3474,S,0,0,60,0,696
67,100067,15,18,27,170,250,R,0,60,0,0,51
68,100068,21,23,16,368,524,S,0,0,60,0,107
69,100069,32,15,13,1076,1310,R,0,60,0,0,264
70,100070,17,12,31,1026,1228,R,0,60,0,0,248
71,100071,16,33,11,340,507,R,0,60,0,0,103
72,100072,10,14,36,183,276,R,0,60,0,0,58
73,100073,10,17,33,50,134,S,0,0,60,0,28
74,100074,27,21,12,260,531,R,0,60,0,0,108
75,100075,13,36,11,1055,1191,S,0,0,60,0,240
76,100076,16,30,14,389,512,R,0,60,0,0,105
77,100077,27,10,23,804,1031,S,0,0,60,0,209
78,100078,26,15,19,797,1003,S,0,0,60,0,203
79,100079,10,20,30,92,315,R,0,60,0,0,65
80,100080,12,21,27,462,712,P,0,0,0,60,145
81,100081,24,15,21,418,635,S,0,0,60,0,129
82,100082,15,31,14,156,454,P,0,0,0,60,93
83,100083,28,11,21,520,712,S,0,0,60,0,144
84,100084,16,24,20,2014,2269,P,0,0,0,60,456
85,100085,12,34,14,384,500,R,0,60,0,0,102
86,100086,36,11,13,393,640,S,0,0,60,0,130
87,100087,11,35,14,788,991,R,0,60,0,0,201
